url,link_rels
https://www.yahoo.com/,dns-prefetch
http://www.amazon.com/,dns-prefetch
http://www.baidu.com/,dns-prefetch
https://wordpress.com/,dns-prefetch
http://www.amazon.co.jp/,dns-prefetch
https://www.paypal.com/home,dns-prefetch
http://minneapolis.craigslist.org,prefetch
http://www.amazon.de/,dns-prefetch
http://www.pornhub.com/,"dns-prefetch,next"
http://www.amazon.co.uk/,dns-prefetch
http://www.cnn.com/,dns-prefetch
http://xhamster.com,"dns-prefetch,next"
http://www.amazon.in/,dns-prefetch
http://www.hao123.com/,dns-prefetch
http://www.jd.com/,dns-prefetch
http://www.flipkart.com/,dns-prefetch
http://www.amazon.cn/,dns-prefetch
https://www.office.com/,dns-prefetch
https://www.etsy.com/,dns-prefetch
http://aws.amazon.com,dns-prefetch
http://www.amazon.fr/,dns-prefetch
http://www.theguardian.com/us,dns-prefetch
http://www.slideshare.net/,dns-prefetch
https://www.quora.com/,dns-prefetch
http://www.amazon.it/,dns-prefetch
http://www.redtube.com/,"dns-prefetch,next"
http://www.snapdeal.com/,dns-prefetch
https://soundcloud.com/,dns-prefetch
https://www.flickr.com/,dns-prefetch
http://www.youporn.com/,"dns-prefetch,next"
http://www.zillow.com/,dns-prefetch
http://www.about.com/,dns-prefetch
http://themeforest.net,dns-prefetch
https://wordpress.com/,dns-prefetch
http://www.hclips.com/,dns-prefetch
http://www.amazon.es/,dns-prefetch
http://www.deviantart.com/,dns-prefetch
http://www.onet.pl,dns-prefetch
http://www.zhihu.com/,dns-prefetch
http://err.tmall.com/error1.html,dns-prefetch
https://www.groupon.com/,dns-prefetch
http://www.detik.com/,dns-prefetch
http://www.addthis.com/,dns-prefetch
http://www.mercadolivre.com.br/,dns-prefetch
http://www.smzdm.com/,"prerender,dns-prefetch,next"
http://www.amazon.ca/,dns-prefetch
http://slickdeals.net,"dns-prefetch,next"
http://www.uptodown.com/,dns-prefetch
http://www.avg.com/us-en/homepage,dns-prefetch
http://www.wp.pl,dns-prefetch
http://www.thesaurus.com/,dns-prefetch
https://www.capitalone.com/,dns-prefetch
http://www.1688.com/,dns-prefetch
https://chaturbate.com/,next
http://www.wsj.com/,dns-prefetch
http://www.txxx.com/,dns-prefetch
http://www.engadget.com/,dns-prefetch
http://shop.nordstrom.com,dns-prefetch
http://www.tube8.com/,"dns-prefetch,next"
https://www.zendesk.com/,dns-prefetch
http://www.1905.com/,dns-prefetch
http://allrecipes.com,next
https://adidas.world.tmall.com/,dns-prefetch
http://www.libero.it/,dns-prefetch
https://watsons.world.tmall.com/,dns-prefetch
http://www.quikr.com/,dns-prefetch
http://www.lemonde.fr/,dns-prefetch
http://lifehacker.com,dns-prefetch
http://www.sears.com/,dns-prefetch
http://www.teepr.com/,next
https://www.shopify.com/,dns-prefetch
http://www.shopclues.com/,dns-prefetch
http://gizmodo.com,dns-prefetch
http://www.pconline.com.cn/,dns-prefetch
http://www.corriere.it/,next
http://www.lefigaro.fr/,dns-prefetch
http://www.lazada.co.id/,dns-prefetch
http://www.mirror.co.uk/,dns-prefetch
http://www.autohome.com.cn,dns-prefetch
http://www.mercadolibre.com.ar/,dns-prefetch
http://issuu.com,dns-prefetch
http://www.mercadolibre.com.ve/,dns-prefetch
http://www.bhphotovideo.com/,dns-prefetch
http://www.hotels.com/,dns-prefetch
https://www.expedia.com/,dns-prefetch
http://www.jimdo.com,dns-prefetch
https://www.udemy.com/,dns-prefetch
https://www.airbnb.com/,dns-prefetch
http://www.taringa.net/,dns-prefetch
http://www.subito.it/,dns-prefetch
https://www.box.com/,"prerender,dns-prefetch"
"http://www.gazeta.pl/0,0.html",dns-prefetch
https://www.bukalapak.com/,dns-prefetch
http://codecanyon.net,dns-prefetch
https://1111.tmall.com/,dns-prefetch
http://www.urbandictionary.com/,dns-prefetch
http://www.researchgate.net/,dns-prefetch
https://www.zomato.com/,dns-prefetch
http://www.wired.com/,"dns-prefetch,next"
http://www.interia.pl/,dns-prefetch
http://www.hostgator.com/,dns-prefetch
https://www.tokopedia.com/,dns-prefetch
http://www.eonline.com/,next
http://www.ensonhaber.com/,dns-prefetch
http://www.latimes.com/,dns-prefetch
http://www.makemytrip.com/,dns-prefetch
http://www.littlethings.com/,"dns-prefetch,next"
http://www.food.com/,next
http://www.mercadolibre.com.mx/,dns-prefetch
http://www.twoo.com/,dns-prefetch
http://www.cam4.com/,next
http://www.okezone.com/,dns-prefetch
https://www.jumia.com.ng/,dns-prefetch
https://wordpress.com/,dns-prefetch
http://www.thekitchn.com/,next
http://patch.com,"dns-prefetch,next"
