frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.proto,tcp.len
"0.000000000","172.16.69.226","209.85.146.106","47170","443","6","96"
"0.000974000","209.85.146.106","172.16.69.226","443","47170","6","0"
"0.145096000","209.85.146.106","172.16.69.226","443","47170","6","275"
"0.145796000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.145811000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.146471000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.146480000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.146487000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.148298000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.148307000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.148312000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.151112000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.151123000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.151128000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.151175000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.151178000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.151183000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.152454000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.152461000","209.85.146.106","172.16.69.226","443","47170","6","69"
"0.152466000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.152510000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.152514000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.152519000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.153021000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.153564000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.153574000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.153617000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.154471000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.154481000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.154546000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.155255000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.155264000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.155821000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.155922000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.155929000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.156993000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.157003000","209.85.146.106","172.16.69.226","443","47170","6","1331"
"0.157008000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.157816000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.157823000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.157828000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.159609000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.159620000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.159625000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.159664000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.159667000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.159820000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.160982000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.160988000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.160991000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.162307000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.162315000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.162319000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.162353000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.162816000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.162824000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.164138000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.164146000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.164150000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.164977000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.164983000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.164987000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.165022000","209.85.146.106","172.16.69.226","443","47170","6","226"
"0.165311000","172.16.69.226","209.85.146.106","47170","443","6","46"
"0.380943000","172.16.69.226","209.85.146.106","47170","443","6","46"
"0.381041000","209.85.146.106","172.16.69.226","443","47170","6","0"
"0.381330000","209.85.146.106","172.16.69.226","443","47170","6","0"
"0.460637000","172.16.69.226","209.85.146.106","47170","443","6","931"
"0.460978000","172.16.69.226","54.230.91.108","35605","443","6","0"
"0.461015000","209.85.146.106","172.16.69.226","443","47170","6","0"
"0.461228000","54.230.91.108","172.16.69.226","443","35605","6","0"
"0.522419000","209.85.146.106","172.16.69.226","443","47170","6","70"
"0.522434000","209.85.146.106","172.16.69.226","443","47170","6","84"
"0.522627000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.522720000","172.16.69.226","209.85.146.106","47170","443","6","46"
"0.523064000","209.85.146.106","172.16.69.226","443","47170","6","0"
