frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.proto,tcp.len
"0.000000000","172.16.69.226","172.16.69.2",,,"17",
"0.002248000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.004089000","172.16.69.226","172.16.69.2",,,"17",
"0.004264000","172.16.69.226","172.16.69.2",,,"17",
"0.005508000","172.16.69.226","172.16.69.2",,,"17",
"0.044883000","172.16.69.2","172.16.69.226",,,"17",
"0.044900000","172.16.69.2","172.16.69.226",,,"17",
"0.044901000","209.85.146.106","172.16.69.226","443","47170","6","0"
"0.044922000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.044993000","172.16.69.2","172.16.69.226",,,"17",
"0.045305000","172.16.69.226","209.85.146.106","47170","443","6","517"
"0.045439000","209.85.146.106","172.16.69.226","443","47170","6","0"
"0.045802000","172.16.69.2","172.16.69.226",,,"17",
"0.074874000","209.85.146.106","172.16.69.226","443","47170","6","146"
"0.074902000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.075351000","172.16.69.226","209.85.146.106","47170","443","6","51"
"0.075543000","209.85.146.106","172.16.69.226","443","47170","6","0"
"0.075860000","172.16.69.226","209.85.146.106","47170","443","6","157"
"0.076006000","172.16.69.226","209.85.146.106","47170","443","6","432"
"0.076109000","209.85.146.106","172.16.69.226","443","47170","6","0"
"0.076113000","209.85.146.106","172.16.69.226","443","47170","6","0"
"0.104267000","209.85.146.106","172.16.69.226","443","47170","6","56"
"0.104281000","209.85.146.106","172.16.69.226","443","47170","6","42"
"0.104414000","172.16.69.226","209.85.146.106","47170","443","6","38"
"0.104537000","209.85.146.106","172.16.69.226","443","47170","6","0"
"0.132219000","209.85.146.106","172.16.69.226","443","47170","6","38"
"0.169349000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.227143000","209.85.146.106","172.16.69.226","443","47170","6","549"
"0.227167000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.227835000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.227846000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.229672000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.229681000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.229727000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.229733000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.229770000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.229789000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.229847000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.229851000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.230641000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.230651000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.230693000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.230698000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.231559000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.231569000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.232042000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.232051000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.232720000","209.85.146.106","172.16.69.226","443","47170","6","1275"
"0.232730000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.233883000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.233894000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.235364000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.235375000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.235422000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.235427000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.236440000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.236449000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.236495000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.236500000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.237348000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.238397000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.238408000","172.16.69.226","209.85.146.106","47170","443","6","0"
"0.239157000","209.85.146.106","172.16.69.226","443","47170","6","1418"
"0.239165000","209.85.146.106","172.16.69.226","443","47170","6","1418"
