frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.proto,tcp.len
"0.000000000","172.16.69.226","195.154.9.161","37405","443","6","1057"
"0.000815000","195.154.9.161","172.16.69.226","443","37405","6","0"
"0.593710000","195.154.9.161","172.16.69.226","443","37405","6","543"
"0.593737000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.593784000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.593793000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.594126000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.594134000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.594628000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.594638000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.596283000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.596292000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.596328000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.596332000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.633131000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.633156000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.633207000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.633211000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.633426000","172.16.69.226","195.154.9.161","37405","443","6","543"
"0.633789000","195.154.9.161","172.16.69.226","443","37405","6","0"
"0.638643000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.638657000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.638662000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.719482000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.719505000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.719514000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.720626000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.721698000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.721725000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.721924000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.722622000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.722641000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.723026000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.723809000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.723819000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.723972000","172.16.69.226","195.154.9.161","37405","443","6","543"
"0.725853000","195.154.9.161","172.16.69.226","443","37405","6","0"
"0.725864000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.725867000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.725871000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.725908000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.726224000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.726231000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.758671000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.758688000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.758695000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.758738000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.758741000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.758745000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.758783000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.759590000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.759604000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.759904000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.760599000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.760605000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.841596000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.841886000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.841906000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.841961000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.842637000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.842647000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.843464000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.843473000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.843478000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.843681000","172.16.69.226","195.154.9.161","37405","443","6","543"
"0.844520000","195.154.9.161","172.16.69.226","443","37405","6","0"
"0.844772000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.844936000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.844946000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.845994000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.846007000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.846014000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.846646000","195.154.9.161","172.16.69.226","443","37405","6","938"
"0.846812000","172.16.69.226","195.154.9.161","37405","443","6","543"
"0.848324000","195.154.9.161","172.16.69.226","443","37405","6","0"
"1.225919000","172.16.69.226","195.154.9.161","37405","443","6","1460"
"1.225994000","172.16.69.226","195.154.9.161","37405","443","6","111"
"1.226647000","195.154.9.161","172.16.69.226","443","37405","6","0"
"1.226656000","195.154.9.161","172.16.69.226","443","37405","6","0"
"1.822691000","195.154.9.161","172.16.69.226","443","37405","6","543"
"1.862784000","172.16.69.226","195.154.9.161","37405","443","6","0"
