"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","146.57.254.72","192.168.91.128","TCP","54","80 > 49438 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"2","0.000000000","146.57.254.72","192.168.91.128","TCP","54","80 > 49436 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"3","0.000000000","146.57.254.72","192.168.91.128","TCP","54","80 > 49437 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.000000000","23.38.132.228","192.168.91.128","TCP","54","80 > 49439 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"351","8.617188000","192.168.91.128","124.6.36.194","TLSv1.2","1111","Application Data"
"352","8.617188000","124.6.36.194","192.168.91.128","TCP","54","443 > 49180 [ACK] Seq=1 Ack=1058 Win=64240 Len=0"
"366","8.851156000","124.6.36.194","192.168.91.128","TLSv1.2","597","Application Data"
"367","8.860554000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=1058 Ack=544 Win=64240 Len=0"
"372","8.978425000","124.6.36.194","192.168.91.128","TLSv1.2","1514","Application Data, Application Data"
"373","8.978436000","124.6.36.194","192.168.91.128","TCP","1514","[TCP segment of a reassembled PDU]"
"374","8.978838000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=1058 Ack=3464 Win=64240 Len=0"
"375","8.985963000","124.6.36.194","192.168.91.128","TLSv1.2","1514","Application Data"
"376","8.999552000","124.6.36.194","192.168.91.128","TLSv1.2","1502","Application Data"
"377","8.999889000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=1058 Ack=6372 Win=64240 Len=0"
"378","9.004287000","192.168.91.128","124.6.36.194","TLSv1.2","597","Application Data"
"379","9.004287000","124.6.36.194","192.168.91.128","TCP","54","443 > 49180 [ACK] Seq=6372 Ack=1601 Win=64240 Len=0"
"380","9.004470000","192.168.91.128","124.6.36.194","TLSv1.2","597","Application Data"
"381","9.004471000","124.6.36.194","192.168.91.128","TCP","54","443 > 49180 [ACK] Seq=6372 Ack=2144 Win=64240 Len=0"
"394","9.253820000","124.6.36.194","192.168.91.128","TLSv1.2","597","Application Data"
"395","9.267045000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=2144 Ack=6915 Win=63697 Len=0"
"400","9.401946000","124.6.36.194","192.168.91.128","TLSv1.2","597","Application Data"
"401","9.408861000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=2144 Ack=7458 Win=63154 Len=0"
"406","9.487697000","192.168.91.128","124.6.36.194","TLSv1.2","597","Application Data"
"407","9.487697000","124.6.36.194","192.168.91.128","TCP","54","443 > 49180 [ACK] Seq=7458 Ack=2687 Win=64240 Len=0"
"408","9.489870000","192.168.91.128","124.6.36.194","TLSv1.2","597","Application Data"
"409","9.489870000","124.6.36.194","192.168.91.128","TCP","54","443 > 49180 [ACK] Seq=7458 Ack=3230 Win=64240 Len=0"
"418","9.642108000","192.168.91.128","124.6.36.194","TLSv1.2","597","Application Data"
"419","9.642141000","124.6.36.194","192.168.91.128","TCP","54","443 > 49180 [ACK] Seq=7458 Ack=3773 Win=64240 Len=0"
"424","9.764510000","124.6.36.194","192.168.91.128","TLSv1.2","597","Application Data"
"425","9.782273000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=3773 Ack=8001 Win=64240 Len=0"
"430","9.911867000","124.6.36.194","192.168.91.128","TLSv1.2","597","Application Data"
"431","9.914061000","124.6.36.194","192.168.91.128","TCP","1514","[TCP segment of a reassembled PDU]"
"432","9.914061000","124.6.36.194","192.168.91.128","TCP","1514","[TCP segment of a reassembled PDU]"
"433","9.914259000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=3773 Ack=11464 Win=64240 Len=0"
"434","9.928574000","124.6.36.194","192.168.91.128","TLSv1.2","1514","Application Data"
"439","9.938633000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=3773 Ack=12924 Win=64240 Len=0"
"440","10.012992000","124.6.36.194","192.168.91.128","TLSv1.2","901","Application Data"
"441","10.016692000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=3773 Ack=13771 Win=63393 Len=0"
"442","10.018156000","192.168.91.128","124.6.36.194","TLSv1.2","597","Application Data"
"443","10.018170000","124.6.36.194","192.168.91.128","TCP","54","443 > 49180 [ACK] Seq=13771 Ack=4316 Win=64240 Len=0"
"456","10.261034000","124.6.36.194","192.168.91.128","TLSv1.2","597","Application Data"
"457","10.267046000","192.168.91.128","124.6.36.194","TCP","54","49180 > 443 [ACK] Seq=4316 Ack=14314 Win=62850 Len=0"
