"No.","Time","Source","src.port","Destination","dst.port","Protocol","Length","Info"
"1","0.000000000","146.57.254.72","80","192.168.91.128","49438","TCP","54","80 > 49438 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"2","0.000021000","146.57.254.72","80","192.168.91.128","49436","TCP","54","80 > 49436 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"3","0.000028000","146.57.254.72","80","192.168.91.128","49437","TCP","54","80 > 49437 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"4","0.000032000","23.38.132.228","80","192.168.91.128","49439","TCP","54","80 > 49439 [FIN, PSH, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"75","1.733125000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","1111","Application Data"
"76","1.733210000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=1 Ack=1058 Win=64240 Len=0"
"81","1.874987000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"82","1.886576000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=1058 Ack=544 Win=63475 Len=0"
"87","1.913934000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"88","1.914104000","124.6.36.194","443","192.168.91.128","49180","TCP","1514","[TCP segment of a reassembled PDU]"
"89","1.914272000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=1058 Ack=3464 Win=64240 Len=0"
"90","1.921336000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
"91","1.933654000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=1058 Ack=4924 Win=64240 Len=0"
"96","2.011601000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","416","Application Data"
"97","2.016390000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"98","2.016463000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=5286 Ack=1601 Win=64240 Len=0"
"99","2.016562000","192.168.91.128","49180","124.6.36.194","443","TLSv1.2","597","Application Data"
"100","2.016579000","124.6.36.194","443","192.168.91.128","49180","TCP","54","443 > 49180 [ACK] Seq=5286 Ack=2144 Win=64240 Len=0"
"109","2.221751000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","597","Application Data"
"110","2.229934000","192.168.91.128","49180","124.6.36.194","443","TCP","54","49180 > 443 [ACK] Seq=2144 Ack=5829 Win=63335 Len=0"
"116","2.313722000","124.6.36.194","443","192.168.91.128","49180","TLSv1.2","1514","Application Data"
