frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.proto,tcp.len
"0.000000000","172.16.69.226","195.154.9.161","37405","443","6","1057"
"0.000514000","195.154.9.161","172.16.69.226","443","37405","6","0"
"0.610442000","195.154.9.161","172.16.69.226","443","37405","6","543"
"0.610467000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.610515000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.610521000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.610880000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.610888000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.610931000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.610936000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.612365000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.612374000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.614740000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.614750000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.615002000","172.16.69.226","195.154.9.161","37405","443","6","543"
"0.616534000","195.154.9.161","172.16.69.226","443","37405","6","0"
"0.644197000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.644303000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.644315000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.654787000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.654805000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.654812000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.737717000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.738032000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.738049000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.738809000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.739107000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.739121000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.739208000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.739921000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.739944000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.740042000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.740923000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.740935000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.741907000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.743905000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.743915000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.743964000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.743967000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.743970000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.766213000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.766508000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.766522000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.766576000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.768175000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.768184000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.768552000","172.16.69.226","195.154.9.161","37405","443","6","543"
"0.768794000","195.154.9.161","172.16.69.226","443","37405","6","0"
"0.777714000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.777728000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.777735000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.862370000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.862604000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.862622000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.862796000","172.16.69.226","195.154.9.161","37405","443","6","543"
"0.862848000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.862935000","195.154.9.161","172.16.69.226","443","37405","6","0"
"0.863478000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.863484000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.864008000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.864415000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.864422000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.864747000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.865735000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.865744000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.865952000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.866476000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.866484000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.866734000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.867138000","195.154.9.161","172.16.69.226","443","37405","6","1448"
"0.867144000","172.16.69.226","195.154.9.161","37405","443","6","0"
"0.867515000","195.154.9.161","172.16.69.226","443","37405","6","1170"
"0.867621000","172.16.69.226","195.154.9.161","37405","443","6","543"
"0.867720000","195.154.9.161","172.16.69.226","443","37405","6","0"
"1.120173000","172.16.69.226","195.154.9.161","37405","443","6","1460"
"1.120250000","172.16.69.226","195.154.9.161","37405","443","6","111"
"1.120783000","195.154.9.161","172.16.69.226","443","37405","6","0"
"1.120791000","195.154.9.161","172.16.69.226","443","37405","6","0"
"1.737221000","195.154.9.161","172.16.69.226","443","37405","6","543"
"1.754326000","172.16.69.1","172.16.69.255",,,"17",
"1.777186000","172.16.69.226","195.154.9.161","37405","443","6","0"
