Generated with
tshark -r wired-noprefetch.pcap -T fields -e frame.number -e frame.time -e ip.src -e ip.dst -e tcp.len -E header=y -E separator=, -E quote=d -E occurrence=f

frame.number,frame.time,ip.src,ip.dst,tcp.len
"1","Dec  3, 2015 17:44:35.023879000","10.0.2.15","167.114.84.145","543"
"2","Dec  3, 2015 17:44:35.024702000","167.114.84.145","10.0.2.15","0"
"3","Dec  3, 2015 17:44:35.056724000","167.114.84.145","10.0.2.15","543"
"4","Dec  3, 2015 17:44:35.056739000","10.0.2.15","167.114.84.145","0"
"5","Dec  3, 2015 17:44:35.057048000","10.0.2.15","167.114.84.145","543"
"6","Dec  3, 2015 17:44:35.057150000","167.114.84.145","10.0.2.15","0"
"7","Dec  3, 2015 17:44:35.530965000","167.114.84.145","10.0.2.15","543"
"8","Dec  3, 2015 17:44:35.531404000","10.0.2.15","167.114.84.145","543"
"9","Dec  3, 2015 17:44:35.531519000","167.114.84.145","10.0.2.15","0"
"10","Dec  3, 2015 17:44:35.652849000","167.114.84.145","10.0.2.15","543"
"11","Dec  3, 2015 17:44:35.653205000","10.0.2.15","167.114.84.145","1057"
"12","Dec  3, 2015 17:44:35.653310000","167.114.84.145","10.0.2.15","0"
"13","Dec  3, 2015 17:44:35.789593000","167.114.84.145","10.0.2.15","543"
"14","Dec  3, 2015 17:44:35.825859000","10.0.2.15","167.114.84.145","0"
"15","Dec  3, 2015 17:44:35.857080000","167.114.84.145","10.0.2.15","543"
"16","Dec  3, 2015 17:44:35.857115000","10.0.2.15","167.114.84.145","0"
"17","Dec  3, 2015 17:44:35.886277000","167.114.84.145","10.0.2.15","1448"
"18","Dec  3, 2015 17:44:35.886308000","10.0.2.15","167.114.84.145","0"
"19","Dec  3, 2015 17:44:35.886385000","167.114.84.145","10.0.2.15","1448"
"20","Dec  3, 2015 17:44:35.886409000","10.0.2.15","167.114.84.145","0"
"21","Dec  3, 2015 17:44:35.886452000","167.114.84.145","10.0.2.15","1448"
"22","Dec  3, 2015 17:44:35.886460000","10.0.2.15","167.114.84.145","0"
"23","Dec  3, 2015 17:44:35.887502000","167.114.84.145","10.0.2.15","854"
"24","Dec  3, 2015 17:44:35.887509000","10.0.2.15","167.114.84.145","0"
"25","Dec  3, 2015 17:44:35.889419000","10.0.2.15","167.114.84.145","543"
"26","Dec  3, 2015 17:44:35.889497000","167.114.84.145","10.0.2.15","0"
"27","Dec  3, 2015 17:44:35.895261000","10.0.2.15","167.114.84.145","543"
"28","Dec  3, 2015 17:44:35.895470000","167.114.84.145","10.0.2.15","0"
"29","Dec  3, 2015 17:44:36.013568000","167.114.84.145","10.0.2.15","543"
"30","Dec  3, 2015 17:44:36.049853000","10.0.2.15","167.114.84.145","0"
"31","Dec  3, 2015 17:44:36.464332000","167.114.84.145","10.0.2.15","543"
"32","Dec  3, 2015 17:44:36.464407000","10.0.2.15","167.114.84.145","0"
"33","Dec  3, 2015 17:44:36.591403000","167.114.84.145","10.0.2.15","543"
"34","Dec  3, 2015 17:44:36.591458000","10.0.2.15","167.114.84.145","0"
"35","Dec  3, 2015 17:44:36.611240000","10.0.2.15","167.114.84.145","543"
"36","Dec  3, 2015 17:44:36.611447000","167.114.84.145","10.0.2.15","0"
"37","Dec  3, 2015 17:44:36.737783000","167.114.84.145","10.0.2.15","543"
"38","Dec  3, 2015 17:44:36.773836000","10.0.2.15","167.114.84.145","0"
"39","Dec  3, 2015 17:44:36.826746000","167.114.84.145","10.0.2.15","543"
"40","Dec  3, 2015 17:44:36.826832000","10.0.2.15","167.114.84.145","0"
"41","Dec  3, 2015 17:44:36.834292000","10.0.2.15","167.114.84.145","543"
"42","Dec  3, 2015 17:44:36.834297000","167.114.84.145","10.0.2.15","0"
"43","Dec  3, 2015 17:44:36.975769000","167.114.84.145","10.0.2.15","543"
"44","Dec  3, 2015 17:44:37.020087000","10.0.2.15","167.114.84.145","0"
"45","Dec  3, 2015 17:44:37.103669000","167.114.84.145","10.0.2.15","543"
"46","Dec  3, 2015 17:44:37.103723000","10.0.2.15","167.114.84.145","0"
"47","Dec  3, 2015 17:44:37.124552000","10.0.2.15","167.114.84.145","543"
"48","Dec  3, 2015 17:44:37.124835000","167.114.84.145","10.0.2.15","0"
"49","Dec  3, 2015 17:44:37.253125000","167.114.84.145","10.0.2.15","543"
"50","Dec  3, 2015 17:44:37.292372000","10.0.2.15","167.114.84.145","0"
"51","Dec  3, 2015 17:44:37.341018000","167.114.84.145","10.0.2.15","543"
"52","Dec  3, 2015 17:44:37.341089000","10.0.2.15","167.114.84.145","0"
