Generated with
tshark -r wired-prefetch.pcapng -T fields -e frame.number -e frame.time -e ip.src -e ip.dst -e tcp.len -E header=y -E separator=, -E quote=d -E occurrence=f  > wired-prefetch.csv

frame.number,frame.time,ip.src,ip.dst,tcp.len
"1","Dec  3, 2015 17:38:14.518195000","10.0.2.15","167.114.84.145","1057"
"2","Dec  3, 2015 17:38:14.518461000","167.114.84.145","10.0.2.15","0"
"3","Dec  3, 2015 17:38:14.707854000","167.114.84.145","10.0.2.15","543"
"4","Dec  3, 2015 17:38:14.707888000","10.0.2.15","167.114.84.145","0"
"5","Dec  3, 2015 17:38:14.746968000","167.114.84.145","10.0.2.15","1448"
"6","Dec  3, 2015 17:38:14.746989000","10.0.2.15","167.114.84.145","0"
"7","Dec  3, 2015 17:38:14.747041000","167.114.84.145","10.0.2.15","1448"
"8","Dec  3, 2015 17:38:14.747047000","10.0.2.15","167.114.84.145","0"
"9","Dec  3, 2015 17:38:14.747070000","167.114.84.145","10.0.2.15","731"
"10","Dec  3, 2015 17:38:14.747072000","10.0.2.15","167.114.84.145","0"
"11","Dec  3, 2015 17:38:14.818849000","167.114.84.145","10.0.2.15","2085"
"12","Dec  3, 2015 17:38:14.818873000","10.0.2.15","167.114.84.145","0"
"13","Dec  3, 2015 17:38:14.820774000","10.0.2.15","167.114.84.145","543"
"14","Dec  3, 2015 17:38:14.820823000","167.114.84.145","10.0.2.15","0"
"15","Dec  3, 2015 17:38:14.821645000","10.0.2.15","167.114.84.145","543"
"16","Dec  3, 2015 17:38:14.821723000","167.114.84.145","10.0.2.15","0"
"17","Dec  3, 2015 17:38:15.033560000","167.114.84.145","10.0.2.15","543"
"18","Dec  3, 2015 17:38:15.079389000","10.0.2.15","167.114.84.145","0"
"19","Dec  3, 2015 17:38:15.195859000","167.114.84.145","10.0.2.15","1057"
"20","Dec  3, 2015 17:38:15.195933000","10.0.2.15","167.114.84.145","0"
"21","Dec  3, 2015 17:38:15.212878000","10.0.2.15","167.114.84.145","543"
"22","Dec  3, 2015 17:38:15.212885000","167.114.84.145","10.0.2.15","0"
"23","Dec  3, 2015 17:38:15.389696000","167.114.84.145","10.0.2.15","1057"
"24","Dec  3, 2015 17:38:15.405487000","10.0.2.15","167.114.84.145","543"
"25","Dec  3, 2015 17:38:15.405812000","167.114.84.145","10.0.2.15","0"
"26","Dec  3, 2015 17:38:15.584035000","167.114.84.145","10.0.2.15","1057"
"27","Dec  3, 2015 17:38:15.613655000","10.0.2.15","167.114.84.145","543"
"28","Dec  3, 2015 17:38:15.613667000","167.114.84.145","10.0.2.15","0"
"29","Dec  3, 2015 17:38:15.791384000","167.114.84.145","10.0.2.15","1057"
"30","Dec  3, 2015 17:38:15.806153000","10.0.2.15","167.114.84.145","543"
"31","Dec  3, 2015 17:38:15.806269000","167.114.84.145","10.0.2.15","0"
"32","Dec  3, 2015 17:38:15.983937000","167.114.84.145","10.0.2.15","1057"
"33","Dec  3, 2015 17:38:16.004608000","10.0.2.15","167.114.84.145","543"
"34","Dec  3, 2015 17:38:16.004733000","167.114.84.145","10.0.2.15","0"
"35","Dec  3, 2015 17:38:16.188871000","167.114.84.145","10.0.2.15","1057"
"36","Dec  3, 2015 17:38:16.193324000","10.0.2.15","167.114.84.145","543"
"37","Dec  3, 2015 17:38:16.193428000","167.114.84.145","10.0.2.15","0"
"38","Dec  3, 2015 17:38:16.199907000","10.0.2.15","167.114.84.145","543"
"39","Dec  3, 2015 17:38:16.199987000","167.114.84.145","10.0.2.15","0"
"40","Dec  3, 2015 17:38:16.370524000","167.114.84.145","10.0.2.15","543"
"41","Dec  3, 2015 17:38:16.409792000","10.0.2.15","167.114.84.145","0"
"42","Dec  3, 2015 17:38:16.518029000","167.114.84.145","10.0.2.15","1448"
"43","Dec  3, 2015 17:38:16.518059000","10.0.2.15","167.114.84.145","0"
"44","Dec  3, 2015 17:38:16.518102000","167.114.84.145","10.0.2.15","1448"
"45","Dec  3, 2015 17:38:16.518108000","10.0.2.15","167.114.84.145","0"
"46","Dec  3, 2015 17:38:16.518121000","167.114.84.145","10.0.2.15","731"
"47","Dec  3, 2015 17:38:16.518124000","10.0.2.15","167.114.84.145","0"
"48","Dec  3, 2015 17:38:16.518290000","167.114.84.145","10.0.2.15","1448"
"49","Dec  3, 2015 17:38:16.518294000","10.0.2.15","167.114.84.145","0"
